AAA;ID;int;NULL;10;0;NO;NULL;SIM
AAA;NOME;varchar;30;NULL;NULL;YES;NULL;NAO
ACORDO_COMERCIAL;ID;int;NULL;10;0;NO;NULL;SIM
ACORDO_COMERCIAL;ACORDO;varchar;30;NULL;NULL;YES;NULL;NAO
ACORDO_COMERCIAL;ACRONIMO;varchar;10;NULL;NULL;YES;NULL;NAO
ACORDO_COMERCIAL;FORM_SISCOD;varchar;10;NULL;NULL;YES;NULL;NAO
ACORDO_COMERCIAL;FORM_CACB;varchar;10;NULL;NULL;YES;NULL;NAO
ACORDO_COMERCIAL;DESCRICAO;varchar;255;NULL;NULL;YES;NULL;NAO
ACORDO_COMERCIAL;FIESP_ID;int;NULL;10;0;YES;NULL;NAO
ACORDO_COMERCIAL_PAISES;ID;int;NULL;10;0;NO;NULL;SIM
ACORDO_COMERCIAL_PAISES;ACORDO_COMERCIAL_ID;int;NULL;10;0;NO;NULL;NAO
ACORDO_COMERCIAL_PAISES;PAIS_CODIGO;char;3;NULL;NULL;NO;NULL;NAO
ANDRESSA_TESTE;NR_PROCESSO;varchar;18;NULL;NULL;YES;NULL;NAO
ANVISA;ID;int;NULL;10;0;NO;NULL;SIM
ANVISA;CD_EMPRESA;char;5;NULL;NULL;YES;NULL;NAO
ANVISA;ID_REPRESENTANTE;varchar;32;NULL;NULL;YES;NULL;NAO
ANVISA;ID_REPRESENTADA;varchar;32;NULL;NULL;YES;NULL;NAO
AtributoDuimp;Codigo;varchar;14;NULL;NULL;NO;NULL;SIM
AtributoDuimp;AtributoCondicionante;bit;NULL;NULL;NULL;YES;NULL;NAO
AtributoDuimp;AtributoCondicionado;varchar;14;NULL;NULL;YES;NULL;NAO
AtributoDuimp;Nome;varchar;50;NULL;NULL;YES;NULL;NAO
AtributoDuimp;NomeApresentacao;varchar;50;NULL;NULL;YES;NULL;NAO
AtributoDuimp;Modalidade;varchar;10;NULL;NULL;YES;NULL;NAO
AtributoDuimp;DataInicioVigencia;datetime;NULL;NULL;NULL;YES;NULL;NAO
AtributoDuimp;DataFimVigencia;datetime;NULL;NULL;NULL;YES;NULL;NAO
AtributoDuimp;FormaPreenchimento;varchar;30;NULL;NULL;YES;NULL;NAO
AtributoDuimp;OrientacaoPreenchimento;varchar;255;NULL;NULL;YES;NULL;NAO
AtributoDuimp;TamanhoMaximo;int;NULL;10;0;YES;NULL;NAO
AtributoDuimp;Obrigatorio;bit;NULL;NULL;NULL;YES;NULL;NAO
AtributoDuimp;Multivalorado;bit;NULL;NULL;NULL;YES;NULL;NAO
AtributoDuimp;Orgaos;varchar;50;NULL;NULL;YES;NULL;NAO
AtributoDuimp;DescricaoCondicao;varchar;50;NULL;NULL;YES;NULL;NAO
AtributoDuimp;CondicaoOperador;varchar;2;NULL;NULL;YES;NULL;NAO
AtributoDuimp;CondicaoValor;varchar;10;NULL;NULL;YES;NULL;NAO
AtributoDuimpDominio;Codigo;char;7;NULL;NULL;NO;NULL;SIM
AtributoDuimpDominio;Descricao;varchar;300;NULL;NULL;NO;NULL;NAO
AtributoDuimpDominio;CodigoAtributo;varchar;14;NULL;NULL;NO;NULL;SIM
AUDITORIA;DATA;datetime;NULL;NULL;NULL;YES;NULL;NAO
AUDITORIA;MAQUINA;varchar;50;NULL;NULL;YES;NULL;NAO
AUDITORIA;USUARIO;varchar;50;NULL;NULL;YES;NULL;NAO
AUDITORIA;ENTIDADE;varchar;50;NULL;NULL;YES;NULL;NAO
AUDITORIA;ENTIDADE_PAI;varchar;50;NULL;NULL;YES;NULL;NAO
AUDITORIA;OPERACAO;char;1;NULL;NULL;YES;NULL;NAO
AUDITORIA;DETALHES;text;2147483647;NULL;NULL;YES;NULL;NAO
AUDITORIA;chave;varchar;20;NULL;NULL;YES;NULL;NAO
bkp_obs;NR_PROCESSO;char;18;NULL;NULL;NO;NULL;NAO
bkp_obs;CD_SERVICO;char;3;NULL;NULL;NO;NULL;NAO
