FOREIGN_KEY,TABELA_ORIGEM,COLUNA_ORIGEM,TABELA_DESTINO,COLUNA_DESTINO
RefTTP_COMPONENTE14,TCOMPONENTES,CD_TIPO_COMPONENTE,TTP_COMPONENTE,CD_TIPO_COMPONENTE
FK_CD_CONFIG_ENVIO_EMAIL_CASCADE,TCONFIG_ENVIO_EMAIL_ARQUIVOS,CD_CONFIG_ENVIO_EMAIL,TCONFIG_ENVIO_EMAIL,CD_CONFIG_ENVIO_EMAIL
FK_CD_CONFIG_ENVIO_EMAIL_ARQU_CASCADE,TCONFIG_ENVIO_EMAIL_ARQUIVOS_SIGLAS,CD_CONFIG_ENVIO_EMAIL_ARQU,TCONFIG_ENVIO_EMAIL_ARQUIVOS,CD_CONFIG_ENVIO_EMAIL_ARQU
FK_CD_CONFIG_ENVIO_EMAIL_EMPRESA_CASCADE,TCONFIG_ENVIO_EMAIL_EMPRESAS,CD_CONFIG_ENVIO_EMAIL,TCONFIG_ENVIO_EMAIL,CD_CONFIG_ENVIO_EMAIL
FK_CD_CONFIG_ENVIO_EMAIL_EMP_CASCADE,TCONFIG_ENVIO_EMAIL_EMPRESAS_ARQUIVOS,CD_CONFIG_ENVIO_EMAIL_EMP,TCONFIG_ENVIO_EMAIL_EMPRESAS,CD_CONFIG_ENVIO_EMAIL_EMP
FK_CD_CONFIG_ENVIO_EMAIL_EMP_ARQ_CASCADE,TCONFIG_ENVIO_EMAIL_EMPRESAS_SIGLAS,CD_CONFIG_ENVIO_EMAIL_EMP_ARQ,TCONFIG_ENVIO_EMAIL_EMPRESAS_ARQUIVOS,CD_CONFIG_ENVIO_EMAIL_EMP_ARQ
FK_TDIAGNOSTICO_FATORES_TDIAGNOSTICO_FATOR_HABILITACAO,TDIAGNOSTICO_FATOR_HABILITACAO,CD_FATOR,TDIAGNOSTICO_FATORES,CD_FATOR
FK_TDIAGNOSTICO_TDIAGNOSTICO_FATORES,TDIAGNOSTICO_FATORES,CD_DIAGNOSTICO,TDIAGNOSTICO,CD_DIAGNOSTICO
FK_TDIAGNOSTICO_TDIAGNOSTICO_HABILITACAO,TDIAGNOSTICO_HABILITACAO,CD_DIAGNOSTICO,TDIAGNOSTICO,CD_DIAGNOSTICO
FK_TEMPRESA_NAC_LOCALIDADE,TEMPRESA_NAC,END_ID_LOCALIDADE,LOCALIDADE,ID
FK_TETAPA_PRODUTO_TPRODUTO,TETAPA_PRODUTO,CD_PRODUTO,TPRODUTO,CD_PRODUTO
FK_TETAPA_PRODUTO_EVENTO_TETAPA_PRODUTO,TETAPA_PRODUTO_EVENTO,CD_ETAPA,TETAPA_PRODUTO,CD_ETAPA
TCOMPARADORES_FATOR_TFATORES,TFATORES,CD_COMPARADOR,TCOMPARADORES_FATOR,CD_COMPARADOR
RefTFATORES8,TFATORES_CAMPOS,CD_FATOR,TFATORES,CD_FATOR
