FOREIGN_KEY,TABELA_ORIGEM,COLUNA_ORIGEM,TABELA_DESTINO,COLUNA_DESTINO
FK_TB_CONTROLE_ACESSO_TB_ROTINA,TB_CONTROLE_ACESSO,CD_ROTINA,TB_ROTINA,CD_ROTINA
FK_TB_CONTROLE_ACESSO_TB_ROTINA,TB_CONTROLE_ACESSO,CD_MODULO,TB_ROTINA,CD_MODULO
FK_TB_CONTROLE_ACESSO_TB_ROTINA,TB_CONTROLE_ACESSO,CD_SISTEMA,TB_ROTINA,CD_SISTEMA
FK_TB_MODULO_TB_SISTEMA,TB_MODULO,CD_SISTEMA,TB_SISTEMA,CD_SISTEMA
FK_TB_ROTINA_TB_MODULO,TB_ROTINA,CD_MODULO,TB_MODULO,CD_MODULO
FK_TB_ROTINA_TB_MODULO,TB_ROTINA,CD_SISTEMA,TB_MODULO,CD_SISTEMA
